id,name,mfcc,scem,scom,srom,sbwm,tempo,rmse
1,A Game of Badminton.mp3,-17.242345986867555,634.3335890674861,26.249254466897835,888.7279593169504,638.5055717596589,129.19921875,0.6853734254837036
2,A Sky Full of Flowers.mp3,-6.704556241881473,508.7427631285659,25.228126299842774,816.7950609520124,518.2488816480173,107.666015625,2.6118505001068115
3,Awakening.mp3,-7.155674911289474,458.2734175504372,25.341452418838117,621.8129066490906,347.5161371459369,123.046875,3.2067883014678955
4,Cascade.mp3,-9.530027801841614,670.5224107183603,22.57042600093485,1023.6854765806405,1089.9646259094386,129.19921875,1.3197169303894043
5,Dalur.mp3,-1.974848312890172,518.8187349223093,23.71006238470524,658.8876824629934,854.1982325679834,129.19921875,4.457283973693848
6,Davvi plays.mp3,-22.01740779352483,667.6566770120648,24.60685915504142,982.0440617139126,975.166967197516,86.1328125,0.29470375180244446
7,Deco.mp3,-12.731778524470627,479.89562828097496,25.799084559466692,704.3540742006095,464.7985056229506,99.38401442307692,1.413343071937561
8,Departure (Home).mp3,-12.380255797347367,581.583764012572,24.59352108609729,831.9116362108166,828.0423347054117,151.99908088235293,0.9037945866584778
9,Echoes of You.mp3,-8.220082382492839,511.3901340456459,24.531618918042334,819.6533770014996,521.061988088901,99.38401442307692,3.0621583461761475
10,Emptiness.mp3,-5.45202918294249,571.1231358669596,25.886243538384665,948.7275965073529,708.918328994931,151.99908088235293,1.6573598384857178
11,Etude.mp3,-8.494455439021465,482.1392457306201,23.779016218043175,620.0212508163216,599.7659712039116,123.046875,3.087491512298584
12,Eyes Closed And Traveling.mp3,-3.831830491462848,664.2746068549003,25.356794919344754,1172.359577568692,737.2734979329318,86.1328125,3.893099308013916
13,Far and Beyond.mp3,-12.871946750201198,543.2887555394644,27.192694640012512,898.2862348526993,568.1141707030512,99.38401442307692,1.630119800567627
14,For Stormboy.mp3,-13.326281253689213,543.7013474467341,25.722907844493925,872.6863896514609,607.4856944962206,123.046875,0.7327903509140015
15,I Miss You.mp3,-17.56346665533492,593.4002452239943,26.72877843239138,823.3200214964686,489.0501478853914,151.99908088235293,1.2019803524017334
16,Il.mp3,-6.021741842459116,986.5007423220443,27.253599616128398,1853.6054581680535,1064.7013661245421,107.666015625,4.242734432220459
17,Improv #10 - One Last Thought.mp3,-10.429458830201664,688.6898519948653,25.477108396936746,1058.6269319611067,681.9499742512147,143.5546875,3.627377986907959
18,India's Lament.mp3,-17.718806994263016,702.521230618306,26.33498853895052,1142.6430905935565,775.2286910471804,135.99917763157896,0.5594768524169922
19,Interlude For Piano.mp3,-7.1310632370997915,529.4376309814637,23.39177273616788,858.1698107645608,612.3408537434581,112.34714673913044,1.2022030353546143
20,Intro.mp3,-3.462724505634043,640.4979390319382,26.486984003531315,1087.5517570566467,638.5075327115302,117.45383522727273,2.1350247859954834
21,La Clairière.mp3,-8.631210764964829,598.4677841917743,25.424044148553147,952.9692375253967,543.9206162597507,129.19921875,1.9554609060287476
22,La Lluvia.mp3,-5.923904942905768,467.65079887711596,25.262319381078708,669.1376204830206,420.9642328072693,151.99908088235293,2.463890552520752
23,Leaves.mp3,-11.184461088021203,633.3865092328588,24.478694385086705,923.3777497944079,715.5808091977185,143.5546875,1.5319916009902954
24,Light of the Seven.mp3,-4.577341733755991,1017.8264605303326,24.57514217122411,1753.5893962848297,1392.4471930013253,117.45383522727273,1.8263237476348877
25,Mrs. Smith.mp3,-12.372202245732582,553.9071111507564,25.48149519274486,897.6362387831366,535.5948651952435,123.046875,1.851973533630371
26,Nocturne in a Minor.mp3,-7.719683582713076,539.5124175934063,25.857647796328802,880.019678641399,552.0168012341056,129.19921875,1.9753546714782715
27,Nostos.mp3,-2.1863748697978087,1062.4576938601813,25.082832095703537,1941.046596090122,1351.8139517704603,117.45383522727273,6.0463056564331055
28,Nuvole bianche.mp3,-6.044475029402606,791.1885658788613,26.259827389507468,1423.0997280439726,893.0372608772506,95.703125,1.6053117513656616
29,Only Questions.mp3,-12.611603652382005,503.63518901944326,24.87902536180488,806.8867875326529,647.0392788214118,143.5546875,1.221238136291504
30,Opening.mp3,-16.287940499747037,715.6220706484162,24.271807903262662,1091.8183979235198,645.4930204694961,107.666015625,1.1649445295333862
31,Qi.mp3,-7.4820357326251825,838.3128403285777,26.262589229672272,1467.2661276424633,918.6384195050864,143.5546875,3.842585563659668
32,Rays of Hope.mp3,-9.534269363318533,610.481995412998,25.54748514191674,900.7945530185758,546.6032647649397,103.359375,2.703308343887329
33,River Running.mp3,-4.9905076929322,740.8004907756692,26.945028669416033,1284.1255684017028,709.8919128160261,143.5546875,3.900239944458008
34,Saltare (Somewhere at the Baltic Sea).mp3,-11.696906807811787,574.1961862781855,26.935526007875207,907.5778453342685,523.0850141331749,135.99917763157896,2.4320690631866455
35,Sanctuary.mp3,-6.239396718550703,550.7572918229723,26.100416975185304,943.7526265903155,512.5329648066283,129.19921875,3.735494375228882
36,Sleeping Lotus.mp3,-6.715134042665654,510.87355325274524,23.99314336937603,768.0203558859811,618.1102320287594,143.5546875,3.7765040397644043
37,Solitude Hymns.mp3,-6.627508616489287,550.8944025201665,24.308628994388975,885.9696426627805,543.5578919001035,123.046875,4.013552188873291
38,The Departure.mp3,-14.056772881272364,384.5623429125777,23.99617275533069,514.4218893612133,409.2082879491937,117.45383522727273,1.1557475328445435
39,The Watchtower.mp3,-7.061013652824342,459.12850734223946,24.767660565626578,659.5460118154992,519.5675639421316,151.99908088235293,1.2888193130493164
40,Threnody.mp3,-4.211426217699086,485.3935872497696,21.557647923265172,618.9379240337171,954.3866506830894,117.45383522727273,1.7523531913757324
41,Throes.mp3,-8.614735666354525,617.487323775848,24.985931772204246,900.5528878132257,565.707894147165,129.19921875,2.0807812213897705
42,Tokka.mp3,-4.264570108254814,555.6934682340975,24.02112100465065,917.2111204165054,491.7635577932943,86.1328125,2.3603179454803467
43,Vladimir's Blues.mp3,-6.93570177934432,568.1456538472895,25.107032366067017,849.8448611043924,619.3759754089381,117.45383522727273,3.2657649517059326
44,Wanderlust.mp3,-6.942314776716744,533.2533372238712,23.65144759868346,733.1622333349458,649.0547493864292,129.19921875,3.449455976486206
