id,name,mfcc,scem,scom,srom,sbwm,tempo,rmse
1,A Touch Of Silver.mp3,2.1820904638052423,2008.227305854556,22.166285690993366,4271.332505170037,2362.906657669948,129.19921875,4.348369121551514
2,All The Joy.mp3,-0.4209785868496595,1810.5021195431539,22.819677604915313,3800.1436877176857,2217.64880458454,89.10290948275862,3.7499024868011475
3,Almost Like Being in Love.mp3,0.4319726805168546,1920.5747392490596,20.06893338914938,4231.882743717347,2553.8585561784275,95.703125,4.4507737159729
4,Angel (Live).mp3,5.984499482507127,1777.5662506358267,21.454588666228883,3898.109761996904,2247.092577976941,161.4990234375,6.248867511749268
5,Anniversary - Radio Edit.mp3,1.475226826280626,2629.8421842892362,21.64793538340935,5873.93114780863,2734.9295653464696,89.10290948275862,3.9632580280303955
6,"Baby, This Love I Have.mp3",-0.5540183955488647,2119.068513013527,22.43290161247854,4437.09816947441,2293.6213920368828,161.4990234375,3.5011329650878906
7,Bee Blues.mp3,-0.008894008019054489,1390.242664301087,22.375570729324203,3006.556819762239,1976.7646662147504,129.19921875,3.36039400100708
8,Begin The Beguine - Alternate Take.mp3,-0.20407014040691046,1768.8412687193563,22.529182789781242,3831.8518293162247,2278.235228656858,92.28515625,3.510814666748047
9,Blue Monk.mp3,-1.216743954769966,1786.9132388719418,22.355132506176936,4017.275708083398,2420.404914862551,103.359375,2.836167335510254
10,Blues for Sharpie.mp3,0.45292210104467645,2484.395667073028,21.624493807196938,6717.251048368566,3132.485393225945,143.5546875,2.885711908340454
11,Brother Hiroshi.mp3,0.9416655726225179,1863.6938635353756,21.79550580803189,4347.507044553018,2356.9913928723804,123.046875,4.050741672515869
12,Cambridge Place.mp3,0.7449457040158359,1986.3178921007766,20.587381934016868,4548.289163784346,2499.780958394585,151.99908088235293,3.521097421646118
13,Cantaloupe Island.mp3,-1.6483469516194573,2136.486531249053,22.18124427184237,4694.729944943643,2336.205161474819,117.45383522727273,2.3359291553497314
