id,name,mfcc,scem,scom,srom,sbwm,tempo,rmse
1,Aint My Fault.mp3,7.544702080303188,2911.2981595774736,19.847451428761108,6540.168785827448,2904.5378805645246,143.5546875,8.70516586303711
2,Alarm.mp3,6.0002092909406555,2423.2602280911265,21.042379491475966,5360.700917908282,2587.0634823864593,143.5546875,8.930218696594238
3,Be As You Are - JordanXL Remix.mp3,6.259537718539702,3215.16464761243,20.22591753959389,6710.342756808726,2914.7230383678643,172.265625,6.885521411895752
4,Blow Your Mind (Mwah).mp3,7.872813048551386,2670.846380476187,19.770657529137146,5995.880410398123,2784.231148080268,107.666015625,9.023843765258789
5,Body Say.mp3,8.349560198781562,2377.3784276761294,20.028247741641756,5226.343397016496,2594.219522443067,172.265625,9.701953887939453
6,Burn Brighter.mp3,6.228687159116728,2601.130394169035,19.611678058934896,5586.374553290683,2586.5117179606355,129.19921875,8.995555877685547
7,Closer.mp3,3.8916821592699846,3040.883535296251,20.572906064144767,6637.843195203657,2929.1121063702076,95.703125,7.045265197753906
8,Cold Water.mp3,4.80253627013311,2514.543458795629,20.914825921727672,5711.2404649102655,2689.988560344037,123.046875,6.798384666442871
9,CRZY.mp3,2.1105406075303703,2752.4901191395606,20.7456261053481,5527.749907785894,2584.6563757586114,129.19921875,6.018304347991943
10,Dont Let Me Down.mp3,8.391123563329018,2538.8863522187776,21.11329750646146,5396.1007038506195,2548.4468053622727,161.4990234375,9.362024307250977
11,False Alarm.mp3,5.919163777335086,2857.720689533504,21.08594501586283,6161.154411008853,2756.4705283478597,103.359375,6.987514972686768
12,Final Song.mp3,8.393359616174669,2962.7098242297307,18.98500962615063,6462.735920720056,2866.1503784377314,103.359375,9.133288383483887
13,Heathens.mp3,0.7554449038641565,2545.892652736415,21.072109679031865,5260.534856932082,2515.536318946024,89.10290948275862,4.430327892303467
14,Hymn For The Weekend - Seeb Remix.mp3,7.378904484091134,2755.5332260304663,20.54902151822599,5970.397231158088,2694.820496606205,103.359375,9.387563705444336
15,In the Name of Love.mp3,7.5310567294974895,2353.1946104462795,21.537396745320716,5272.218119618325,2697.5081778015465,135.99917763157896,7.968411922454834
16,Into You.mp3,8.786812608940343,2798.764303402601,19.753478417615987,5919.772537278686,2757.2278948713238,107.666015625,8.169916152954102
17,Let Me Hold You (Turn Me On).mp3,8.349625283000787,2868.211785575056,20.189739358749083,6547.643740627419,2884.4288615892438,135.99917763157896,10.360743522644043
18,Let Me Love You.mp3,6.831625058062145,2309.9173025785612,21.415998969807124,5345.901007401316,2608.6352510658685,99.38401442307692,7.986799716949463
19,Mama Said.mp3,7.192119028588691,2222.5058544394437,20.540814576409723,5008.011383906975,2537.756068656684,83.35433467741936,8.485983848571777
20,Millionaire (feat. Nelly) - Alan Walker Remix.mp3,6.630131695575331,2754.0944736584634,19.995938041833682,6009.121996994727,2728.46354214233,95.703125,6.72221040725708
21,My Way.mp3,7.849883307257411,2369.3596697360417,20.539250324564875,5087.4025705059985,2529.1991762163548,117.45383522727273,8.677862167358398
22,Never Be Like You (feat. Kai).mp3,2.214399030419508,2359.8182211607655,21.403312160951877,4844.062375284201,2394.6650969086695,117.45383522727273,7.127340316772461
23,Perfect Strangers.mp3,6.439076025299652,2648.3319642094953,19.744901293554907,6007.797005006772,2758.168640998951,117.45383522727273,7.915259838104248
24,Please Dont Go.mp3,7.480357333300365,2302.7828946253335,21.071858760417747,4886.495452030525,2397.8326870107962,83.35433467741936,7.717729568481445
25,Scars To Your Beautiful.mp3,10.100635743788901,2338.2732459993576,20.141608552046648,5073.160989956221,2577.8452725084476,99.38401442307692,8.522911071777344
26,Side To Side.mp3,4.021564405768121,2484.577577199337,21.353586190186558,5237.634995404412,2563.6366386076606,161.4990234375,6.691478252410889
27,Something Wrong.mp3,8.555141395853894,3105.006744251709,20.39066176100638,6762.034110904847,2959.3773942283583,95.703125,7.588124752044678
28,Starving.mp3,5.699080458829359,2759.098574824848,20.7846964536831,5854.614597946497,2690.844840455619,99.38401442307692,9.13919448852539
29,Still Falling For You - Jonas Blue Remix.mp3,3.804559815126711,2992.1229258474127,19.73210075474578,6233.72897216041,2800.657014873601,123.046875,5.279886245727539
30,Sucker For Pain.mp3,5.8002085499085405,2003.4286938564521,20.966852727866627,4137.033317258853,2267.574701806637,86.1328125,8.674656867980957
31,The Ocean.mp3,7.782763354354011,2903.4679410318035,21.669161861629018,6330.9033845600325,2788.875990962702,89.10290948275862,9.171683311462402
32,This Is What You Came For.mp3,8.289201951523891,2367.9065452864993,19.496134892708653,5400.825675279363,2671.3825637568943,123.046875,9.85690975189209
33,Too Good.mp3,8.118001391234218,2040.3921757586136,19.161385752219903,4686.838325996517,2493.8225311144606,161.4990234375,8.935214042663574
34,We Dont Talk Anymore (feat. Selena Gomez).mp3,7.00534723860778,1963.6589888388264,20.438961086042625,4757.137900904605,2696.4555276098517,99.38401442307692,8.052450180053711
35,Whole Heart.mp3,8.21622441208094,2634.810772114351,20.34156069821014,5580.107924517463,2586.135951944211,107.666015625,7.467455863952637
36,WILD - Young Bombs Remix.mp3,9.204788105667182,2741.765485046261,20.002796641118724,6039.638479132402,2745.2639917610622,99.38401442307692,11.16815185546875
37,Write On Me.mp3,3.588125991996101,2172.8115535133006,22.065717943989004,4514.972698577786,2323.0816113766805,95.703125,7.197347164154053
